time,open,high,low,close,Volume
1761885900,4000.395,4010.79,4000.035,4005.9,6353
1761886800,4005.455,4006.415,3996.28,3997.165,7410
1761887700,3997.145,4003.4,3994.115,4002.105,7972
1761888600,4001.965,4006.935,3998.085,4006.835,11344
1761889500,4006.855,4011.38,4003.395,4005.11,12245
1761890400,4005.14,4013.595,4002.17,4009.605,11205
1761891300,4009.725,4014.94,4006.855,4009.41,12012
1761892200,4009.405,4012.215,4007.355,4010.58,9081
1761893100,4010.545,4014.715,4005.53,4013.34,9190
1761894000,4013.335,4016.86,4007.68,4015.935,9346
1761894900,4015.955,4023.74,4014.965,4023.375,8751
1761895800,4023.355,4025.72,4011.875,4012.57,10549
1761896700,4012.545,4024.115,4012.33,4021.235,10428
1761897600,4021.205,4026.82,4019.08,4023.11,8638
1761898500,4023.105,4024.29,4018.53,4021.505,7071
1761899400,4021.515,4026.05,4018.78,4019.915,6832
1761900300,4019.9,4020.99,4006.94,4010.575,10724
1761901200,4010.46,4014.32,4006.41,4006.565,10261
1761902100,4006.51,4008.21,3998.875,4002.415,8184
1761903000,4002.45,4007.085,3999.905,4004.37,7253
1761903900,4004.36,4009.765,4000.3,4008.59,8776
1761904800,4008.63,4016.84,4008.315,4016.075,9263
1761905700,4016.125,4016.665,4010.505,4013.23,7213
1761906600,4013.195,4014.27,4008.415,4010.29,6354
1761907500,4010.195,4010.61,4003.685,4007.515,9104
1761908400,4007.535,4009.56,4004.095,4006.055,8118
1761909300,4006.04,4008.03,4001.745,4005.475,7668
1761910200,4005.51,4008.845,4002.105,4008.77,4641
1761911100,4008.84,4011.295,4006.37,4010.595,5351
1761912000,4010.66,4013.37,4009.19,4012.565,7023
1761912900,4012.58,4025.165,4011.785,4019.465,11724
1761913800,4019.475,4033.21,4016.565,4029.59,15057
1761914700,4029.605,4036.435,4020.815,4023.06,13322
1761915600,4023.05,4035.725,4020.455,4031.31,17723
1761916500,4031.315,4032.185,4025.655,4026.79,13319
1761917400,4026.735,4028.985,4013.235,4016.065,20717
1761918300,4015.985,4022.85,4010.28,4016.73,20914
1761919200,4016.735,4027.32,4016.495,4019.94,19545
1761920100,4019.925,4025.915,4014.795,4015.465,15394
1761921000,4015.4,4021.72,4012.915,4017.02,17534
1761921900,4017.065,4022.635,4011.06,4020.7,17264
1761922800,4020.665,4020.985,4009.635,4017.12,14106
1761923700,4017.14,4019.625,4014.84,4018.065,14035
1761924600,4018.105,4023.04,4016.195,4021.07,18670
1761925500,4021.085,4022.51,4011.56,4012.6,16679
